Department,School,SchType,SchLocation,Grade,NIVEAU2,NIVEAU3,NIVEAU4,NIVEAU5,NIVEAU6,Gender,PassRate,ExcellenceRate,Date,r1h,rfh,r3h,FluctMonth,FluctIntra,FluctTenDays,RainHistVol,HeavyRain,LowRain,ExtreFluctMonth,ExtreFluctIntra,Region,RegionCode,SchYear,IMR,District
BOUAKE 2,EPP IRDO 2,0,1,CP1,0,0,0,0,0,0,0.8461538461538461,0.5,2024-02-11,9.933824,4.9852943,26.25735,0.6350851394186167,0.1774611418523219,0.3001475359238068,-1.0780216503640152,0.0,0.0,0.0,0.0,Gbeke,CI11,2023-2024,1.797884733233896,District de la Vallée du Bandama
KORHOGO,EPC KADIMA  KORHOGO ,1,1,CP2,1,0,0,0,0,0,0.6379310344827586,0.1724137931034483,2024-02-11,5.5970874,2.356796,18.75728,0.5208152726005315,0.121422363352768,0.0484036378201592,-0.5829888439244371,0.0,0.0,0.0,0.0,Poro,CI28,2023-2024,2.103399539254711,District des Savanes
DIVO,EPP HIRE-DIDA 4,0,1,CP2,1,0,0,0,0,0,0.5,0.2058823529411764,2024-02-11,42.544487,34.455517,117.58363,0.1498118193316092,0.3698870631581478,0.8517868270558819,-0.2189265784795472,0.0,0.0,0.0,0.0,Loh-Djiboua,CI22,2023-2024,0.0862075532310866,District du Gôh-Djiboua
BOUNDIALI,EPP DIOGO,0,0,CP1,0,0,0,0,0,0,0.4242424242424242,0.0909090909090909,2024-02-11,4.214706,1.7882353,18.917648,0.4180041976830648,0.1018841563326125,0.1628289073591153,-0.4995690777482975,0.0,0.0,0.0,0.0,Bagoue,CI05,2023-2024,0.4553683819495362,District des Savanes
SOUBRE,EPP TAKOREAGUI A,0,0,CP2,1,0,0,0,0,1,1.0,0.7758620689655172,2024-02-11,31.693548,23.616129,103.64515,0.2896692727491413,0.3127735414791679,0.8184674126737705,-0.5899838347245359,0.0,0.0,0.0,0.0,Nawa,CI26,2023-2024,1.171598949547309,District du Bas-Sassandra
SAN-PEDRO,EPP SAN PEDRO 8,0,1,CP1,0,0,0,0,0,1,0.7058823529411764,0.4705882352941176,2024-02-11,39.723076,23.461538,194.70512,0.629098914696334,0.2354763790195905,0.7014207508476213,-0.5421251974576384,0.0,0.0,0.0,0.0,San Pedro,CI29,2023-2024,0.6020875573157103,District du Bas-Sassandra
BOUNDIALI,EPP 2 ZAGUINASSO,0,0,CP2,1,0,0,0,0,0,0.5588235294117647,0.3529411764705882,2024-02-11,4.214706,1.7882353,18.917648,0.4180041976830648,0.1018841563326125,0.1628289073591153,-0.4995690777482975,0.0,0.0,0.0,0.0,Bagoue,CI05,2023-2024,0.1965826909916892,District des Savanes
SOUBRE,EPP QUARTIER KATO-B,0,1,CP2,1,0,0,0,0,1,0.5,0.0,2024-02-11,31.693548,23.616129,103.64515,0.2896692727491413,0.3127735414791679,0.8184674126737705,-0.5899838347245359,0.0,0.0,0.0,0.0,Nawa,CI26,2023-2024,0.0855677483610879,District du Bas-Sassandra
KORHOGO,EPP 6 DE SIRASSO,0,1,CP1,0,0,0,0,0,0,0.2321428571428571,0.1071428571428571,2024-02-11,5.5970874,2.356796,18.75728,0.5208152726005315,0.121422363352768,0.0484036378201592,-0.5829888439244371,0.0,0.0,0.0,0.0,Poro,CI28,2023-2024,0.4952019186920952,District des Savanes
DIVO,EPP ZEGO 1,0,1,CP1,0,0,0,0,0,0,0.8888888888888888,0.4722222222222222,2024-02-11,42.544487,34.455517,117.58363,0.1498118193316092,0.3698870631581478,0.8517868270558819,-0.2189265784795472,0.0,0.0,0.0,0.0,Loh-Djiboua,CI22,2023-2024,0.0862075532310866,District du Gôh-Djiboua
KORHOGO,EPP 6 DE SIRASSO,0,1,CP2,1,0,0,0,0,0,0.3611111111111111,0.0,2024-02-11,5.5970874,2.356796,18.75728,0.5208152726005315,0.121422363352768,0.0484036378201592,-0.5829888439244371,0.0,0.0,0.0,0.0,Poro,CI28,2023-2024,0.4952019186920952,District des Savanes
SAN-PEDRO,EPC ENFANT JESUS,1,1,CP2,1,0,0,0,0,1,1.0,0.5,2024-02-11,39.723076,23.461538,194.70512,0.629098914696334,0.2354763790195905,0.7014207508476213,-0.5421251974576384,0.0,0.0,0.0,0.0,San Pedro,CI29,2023-2024,0.5843247688169072,District du Bas-Sassandra
ABENGOUROU,EPP AKACOMOEKRO 2,0,0,CP1,0,0,0,0,0,1,0.6499999999999999,0.05,2024-02-11,11.199115,5.986726,57.929207,0.0663769413922439,0.1683129425851953,0.4996304825041266,-1.0968194697217657,0.0,1.0,0.0,0.0,Indenie-Djuablin,CI20,2023-2024,0.0689787071681386,District du Comoé
ABENGOUROU,EPP APPROMPRON 2,0,0,CP1,0,0,0,0,0,1,1.0,0.6458333333333333,2024-02-11,11.199115,5.986726,57.929207,0.0663769413922439,0.1683129425851953,0.4996304825041266,-1.0968194697217657,0.0,1.0,0.0,0.0,Indenie-Djuablin,CI20,2023-2024,0.0689787071681386,District du Comoé
ABENGOUROU,EPP BETTIE 2,0,1,CP2,1,0,0,0,0,1,1.0,0.0588235294117647,2024-02-11,11.199115,5.986726,57.929207,0.0663769413922439,0.1683129425851953,0.4996304825041266,-1.0968194697217657,0.0,1.0,0.0,0.0,Indenie-Djuablin,CI20,2023-2024,0.0372372284465908,District du Comoé
KORHOGO,EPP DE NAFOUN 2,0,0,CP2,1,0,0,0,0,0,0.7564102564102564,0.1282051282051282,2024-02-11,5.5970874,2.356796,18.75728,0.5208152726005315,0.121422363352768,0.0484036378201592,-0.5829888439244371,0.0,0.0,0.0,0.0,Poro,CI28,2023-2024,2.038344017609582,District des Savanes
ABENGOUROU,EPP BETTIE 2,0,1,CP1,0,0,0,0,0,1,1.0,0.0,2024-02-11,11.199115,5.986726,57.929207,0.0663769413922439,0.1683129425851953,0.4996304825041266,-1.0968194697217657,0.0,1.0,0.0,0.0,Indenie-Djuablin,CI20,2023-2024,0.0372372284465908,District du Comoé
SOUBRE,EPP KOUAKOUDANKRO,0,0,CP2,1,0,0,0,0,1,0.7758620689655172,0.4310344827586207,2024-02-11,31.693548,23.616129,103.64515,0.2896692727491413,0.3127735414791679,0.8184674126737705,-0.5899838347245359,0.0,0.0,0.0,0.0,Nawa,CI26,2023-2024,0.3326488705673545,District du Bas-Sassandra
SOUBRE,EPP ERNESTKRO,0,0,CP2,1,0,0,0,0,1,0.3333333333333333,0.2222222222222222,2024-02-11,31.693548,23.616129,103.64515,0.2896692727491413,0.3127735414791679,0.8184674126737705,-0.5899838347245359,0.0,0.0,0.0,0.0,Nawa,CI26,2023-2024,0.3326488705673545,District du Bas-Sassandra
ABENGOUROU,EPP MOUSSAKRO,0,0,CP1,0,0,0,0,0,1,0.8541666666666667,0.2291666666666666,2024-02-11,11.199115,5.986726,57.929207,0.0663769413922439,0.1683129425851953,0.4996304825041266,-1.0968194697217657,0.0,1.0,0.0,0.0,Indenie-Djuablin,CI20,2023-2024,0.0502084101411048,District du Comoé
ABIDJAN 3,EPV ADONAI,1,1,CP2,1,0,0,0,0,1,0.5384615384615385,0.1153846153846153,2024-02-11,39.403225,31.709677,192.16129,0.3344249614086156,0.4060581208771617,0.9221770060918628,0.0983507037639052,0.0,0.0,0.0,1.0,District Autonome D'Abidjan,CI01,2023-2024,2.332672507206584,District Autonome d'Abidjan
KORHOGO,EPP DE TAKPALAKAHA,0,0,CP1,0,0,0,0,0,0,0.8,0.15,2024-02-11,5.5970874,2.356796,18.75728,0.5208152726005315,0.121422363352768,0.0484036378201592,-0.5829888439244371,0.0,0.0,0.0,0.0,Poro,CI28,2023-2024,0.3925314918559281,District des Savanes
KORHOGO,EPP DE KAFALAGAKAHA,0,0,CP2,1,0,0,0,0,0,1.0,0.576923076923077,2024-02-11,5.5970874,2.356796,18.75728,0.5208152726005315,0.121422363352768,0.0484036378201592,-0.5829888439244371,0.0,0.0,0.0,0.0,Poro,CI28,2023-2024,1.347725983344211,District des Savanes
KORHOGO,EPP DE GAMA,0,0,CP2,1,0,0,0,0,0,0.7368421052631579,0.2368421052631578,2024-02-11,5.5970874,2.356796,18.75728,0.5208152726005315,0.121422363352768,0.0484036378201592,-0.5829888439244371,0.0,0.0,0.0,0.0,Poro,CI28,2023-2024,0.6561651210930756,District des Savanes
ABENGOUROU,EPP HEREDOUGOU,0,0,CP1,0,0,0,0,0,1,1.0,0.0,2024-02-11,11.199115,5.986726,57.929207,0.0663769413922439,0.1683129425851953,0.4996304825041266,-1.0968194697217657,0.0,1.0,0.0,0.0,Indenie-Djuablin,CI20,2023-2024,0.0689787071681386,District du Comoé
BOUAKE 2,EPP MAMIAN,0,1,CP1,0,0,0,0,0,0,0.65625,0.15625,2024-02-11,9.933824,4.9852943,26.25735,0.6350851394186167,0.1774611418523219,0.3001475359238068,-1.0780216503640152,0.0,0.0,0.0,0.0,Gbeke,CI11,2023-2024,1.808123753527901,District de la Vallée du Bandama
